fixture_id,B365H,B365D,B365A
830,3,3.2,2.62
831,5.5,4,1.7
832,2.05,3.4,4.1
833,1.95,3.4,4.5
834,2.37,3.3,3.3
835,4.2,3.3,2.05
836,2,3.6,4
837,4,3.6,2
838,2.9,3.3,2.62
839,1.45,4.5,8.5
840,2.55,3.6,2.8
841,2.1,3.3,4
842,1.8,4,4.5
843,1.28,5.75,13
844,1.83,3.4,5.5
845,2.75,3.25,2.8
846,1.95,3.75,4
847,2.4,3.25,2.9
848,2.2,3.4,3.6
849,2.62,3.3,2.9
850,2.25,3.5,3.4
851,2.5,3.4,3
852,1.72,3.6,6
853,2.15,3.5,3.6
854,1.75,4,5
855,2.5,3.4,3
856,3,3.2,2.62
857,2.2,3.5,3.5
858,3.6,3.4,2.2
859,2.25,3.4,3.5
860,2.6,3.4,2.87
861,3.4,3.5,2.05
862,2.3,3.25,3.5
863,1.53,4.2,7.5
864,3.25,3.2,2.45
865,2.75,3.4,2.7
866,2.8,3.4,2.65
867,4.5,3.5,1.95
868,3.1,3.5,2.4
869,2.15,3.4,3.8
870,2.37,3.4,3.2
871,1.66,4.2,5.25
872,2.1,3.6,3.75
873,2.75,3.25,2.8
874,2.62,3.3,2.9
875,1.4,5,9
876,1.36,5.25,10
877,2.25,3.3,3.6
878,2.3,3.4,3.4
879,1.55,4,7.5
880,2.55,3.5,2.87
881,1.95,3.6,4.2
882,4.33,3.4,2
883,5.25,4,1.7
884,2.45,3.25,3.2
885,2.15,3.3,3.9
886,1.6,4.33,5.75
887,1.9,3.6,4.5
888,1.9,3.75,4.33
889,2.2,3.4,3.6
890,2.05,3.8,3.6
891,2.1,3.75,3.6
892,3.75,3.25,2.2
893,2.15,3.5,3.6
894,3.3,3.5,2.3
895,2.1,3.5,3.8
896,5.5,4.2,1.65
897,2.05,3.6,3.8
898,1.83,3.6,5
899,2.9,3.8,2.37
900,1.75,3.7,5.5
901,1.6,4.33,5.75
902,1.7,3.8,5.75
903,3.1,3.3,2.5
904,1.53,4.33,7
905,3,3.3,2.55
906,2.45,3.3,3.2
907,1.66,3.8,6
908,3.3,3.4,2.35
909,1.7,3.8,5.75
910,2.37,3.1,3.5
911,1.9,3.6,4.5
912,3.3,3.6,2.25
913,4,3.5,2.05
914,2.7,3.25,2.87
915,2.7,3.1,3
916,2.1,3.75,3.5
917,1.9,3.6,4.5
918,1.85,3.75,4.5
919,2.75,3.4,2.7
920,1.44,4.75,8
921,3.2,3.4,2.4
922,3.2,3.4,2.37
923,3.25,3.4,2.37
